a        | 啊  | Particle                       → Ahhh, Oh, Aha
gong     | 弓  | Bow                            → Horn
gong     | 贡  | Offer                          → Kangba, Examination, Ligong
gong     | 躬  | Bow                            → [无建议, 可用首字母: DEFHIKLNQUVXYZ]
gong     | 拱  | Arch                           → lower
gong     | 龚  | Surname Gong                   → [无建议, 可用首字母: DEFHIKLNQUVXYZ]
gong     | 巩  | Strengthen                     → Fenggong, Zenggong
gong     | 汞  | Mercury                        → [无建议, 可用首字母: DEFHIKLNQUVXYZ]
gong     | 肱  | Arm                            → Luchenggongjiheigong, Humerus, Zhugong
gou      | 狗  | Dog                            → Gate, Wild, Loujingou
gou      | 勾  | Hook                           → Goujian, Pythagorean, Affair
gou      | 购  | Buy                            → Purchased, Limit, Tribute
gou      | 沟  | Ditch                          → Generation, Wangjiagou, Jingyugou
gou      | 钩  | Hook                           → Jingouwan, Grab, Pulling
gou      | 垢  | Dirt                           → Ya
gou      | 篝  | Bonfire                        → [无建议, 可用首字母: AGIJKLNOPQTUVWXYZ]
gou      | 枸  | Dogwood                        → Wolfberry
gu       | 古  | Ancient                        → Xijingudu, Weichangmanzumengguzuzizhixian, Reform
gu       | 顾  | Consider                       → Jinggule, Review, Review
gu       | 姑  | Aunt                           → Yueguniang, Xiagu, Wugu
gu       | 骨  | Bone                           → Within, Jintaizuagudayulingzhi, Ruan
gu       | 谷  | Valley                         → Zhougucheng, Yishiguyoujie, Yanggu
gu       | 固  | Firm                           → Yugu, Wangusi, Yugur
gu       | 估  | Guess                          → Underestimate, Rough
gu       | 辜  | Sin                            → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 蛊  | Poison                         → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 菇  | Fungus                         → Xiaojidunmogu
gu       | 汩  | Gurgle                         → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 箍  | Hoop                           → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 沽  | Buy                            → Xianshuigu
gu       | 鹘  | Vulture                        → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 鸪  | Partridge                      → Zhegutian
gu       | 梏  | Fetter                         → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 痼  | Chronic                        → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 钴  | Cobalt                         → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 崮  | Hill                           → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 蛄  | Cricket                        → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 呱  | Croak                          → [无建议, 可用首字母: JKQRUWXYZ]
gu       | 鹄  | Swan                           → Wild, Yuhuwan
guan     | 关  | Close                          → Guansongfang, Juyongguanyuntai, Ma
guan     | 观  | Watch                          → Zhuguan, Guanyin, Visit
guan     | 贯  | Consistent                     → Xieguanyi, Luoguanzhong, Luo
guan     | 罐  | Can                            → Fermentation, Glass, Earthenware
guan     | 棺  | Coffin                         → Dayishanshiguanmu
guan     | 倌  | Shepherd                       → [无建议, 可用首字母: BDEFGJKLMNQRVXYZ]
guan     | 盥  | Wash                           → [无建议, 可用首字母: BDEFGJKLMNQRVXYZ]
guan     | 纶  | Silk thread                    → Lulun, Jianjinglun, Guilunmei
gui      | 鬼  | Ghost                          → Xifangguidi, Wufangguidi, Li
gui      | 规  | Rule                           → Urban, Law, Unusual
gui      | 归  | Return                         → Ultimately, Line, Hong
gui      | 柜  | Cabinet                        → Water, Wangzhanggui, Wardrobe
gui      | 诡  | Cunning                        → Deceit, Deceitful
gui      | 瑰  | Gem                            → Wild
gui      | 龟  | Turtle                         → Luguimeng, Wuguishi, Qiucile
gui      | 轨  | Track                          → Liurengui, Zhanggui, Double-track
gui      | 桧  | Cypress                        → Qin, Qinhui, Leijingui
gui      | 癸  | Tenth                          → Year, Xiajiegui, Qiguigong
gui      | 硅  | Silicon                        → Diatoms, Diatomite
gui      | 皈  | Convert                        → [无建议, 可用首字母: DFHILQUVWXYZ]
gui      | 晷  | Sundial                        → [无建议, 可用首字母: DFHILQUVWXYZ]
gui      | 鲑  | Salmon                         → [无建议, 可用首字母: DFHILQUVWXYZ]
gun      | 滚  | Roll                           → Boiling, Thick, Forward
gun      | 衮  | Royal robe                     → Duoergun, Wuergun, Dorgovern
gun      | 磙  | Roller                         → Needle
guo      | 过  | Pass                           → Trained, Memorize, Through
guo      | 锅  | Pot                            → Boiler, Mess, Burned
guo      | 裹  | Wrap                           → Foot, Entrapment, Tightly
guo      | 蝈  | Cricket                        → [无建议, 可用首字母: ABDEFGHIJKLMOQTUVXYZ]
guo      | 埚  | Crucible                       → [无建议, 可用首字母: ABDEFGHIJKLMOQTUVXYZ]
guo      | 蜾  | Wasp                           → [无建议, 可用首字母: ABDEFGHIJKLMOQTUVXYZ]
hai      | 海  | Sea                            → Ocean, Ocean, Yanghaiying
hai      | 骇  | Shock                          → Furious, Greatly
hai      | 嗨  | Hi                             → [无建议, 可用首字母: ABCDEFGJLMNOPQUVWXYZ]
hai      | 骸  | Skeleton                       → Body
hai      | 氦  | Helium                         → Liquid
han      | 汉  | Han                            → Qin, Jianghanzhong, Mayihanzi
han      | 寒  | Cold                           → Xiaohan, Mild, Gale-force
han      | 喊  | Shout                          → Announce
han      | 韩  | Surname                        → Korea, Mingwanghanshantong, Zhenghangucheng
han      | 含  | Hold                           → Implied, Endure, Free
han      | 涵  | Contain                        → Yangfanghan, Jibenhan, Zhanghanyu
han      | 翰  | Writing                        → Misihan, John, Yuehansong
han      | 憾  | Regret                         → Express
han      | 罕  | Rare                           → Mohandasi, Muhammad, Muhanmodeershi
han      | 撼  | Shake                          → Moving
han      | 函  | Case                           → Function, Trigonometric, Exponential
han      | 憨  | Naive                          → [无建议, 可用首字母: AEFGIJKMOQTUXYZ]
han      | 旱  | Dry                            → Flood, Extreme, Flood
han      | 酣  | Drunk                          → Falling, Unrestrained, Exquisite
han      | 颔  | Nod                            → First
han      | 邯  | Handan (city)                  → Zhanghan, Zhaohandangucheng
han      | 捍  | Defend                         → [无建议, 可用首字母: AEFGIJKMOQTUXYZ]
han      | 鼾  | Snore                          → [无建议, 可用首字母: AEFGIJKMOQTUXYZ]
han      | 焊  | Weld                           → Flux, Gas
hao      | 毫  | Slight                         → Pigment, Fine, Fine
hao      | 豪  | Bold                           → Literary, Luxury, Yuguanghao
hao      | 耗  | Waste                          → Consumable, Depletion, Exhaustion
hao      | 昊  | Sky                            → Yuanhao, Jiahao, Caotianhao
hao      | 嚎  | Howl                           → [无建议, 可用首字母: ACDEFIJKLPQRTUXYZ]
hao      | 皓  | Bright                         → Luhaodong, Full, Lu
hao      | 嗥  | Howl                           → [无建议, 可用首字母: ACDEFIJKLPQRTUXYZ]
hao      | 颢  | Bright                         → Zhouhao, Yanhao, Chenghao
hao      | 濠  | Hao River                      → Xuhaoying, Above
hao      | 蒿  | Wormwood                       → Artemisinin, Thorny, Artemisia
he       | 和  | Harmonious                     → Fanhe, Wangjinghe, Wang
he       | 何  | How                            → Why, What, What
he       | 喝  | Drink                          → Eat, Eat, Ebuhe
he       | 呵  | Laugh                          → Yawns
he       | 贺  | Celebrate                      → Yiqifenniehe, Expressing, Wentehe
he       | 荷  | Lotus                          → Fully, Quyuanfenghe, Overload
he       | 鹤  | Crane                          → Xianhesi, Yunhe, Xuhe
he       | 褐  | Dark                           → [无建议, 可用首字母: EFIKMOQUWXYZ]
he       | 吓  | Scare                          → Frighten, Intimidate, Frighten
he       | 涸  | Dry                            → [无建议, 可用首字母: EFIKMOQUWXYZ]
he       | 阂  | Hinder                         → Estrangement, Eliminate
he       | 诃  | Scold                          → Mohebasi, Mohean, Qihefu
he       | 菏  | Lotus                          → [无建议, 可用首字母: EFIKMOQUWXYZ]
hong     | 红  | Red                            → Huzehong, Full, Hongbao
hong     | 洪  | Vast                           → Liyuanhong, Hongru, Li
hong     | 虹  | Rainbow                        → Liuhonghua, Hongqiaoguojijichang, Hongqiao
hong     | 宏  | Grand                          → Macro, Huanghong, Liuhongjun
hong     | 鸿  | Swan                           → Feast, Ma, Tongxuehong
hong     | 弘  | Grand                          → Tenghong, Zhenghong, Qianhongzong
hong     | 烘  | Dry                            → Warm, Honggang, Oven
hong     | 泓  | Deep                           → Hongyuan, Muronghong, Huanghong
hong     | 闳  | Vast                           → [无建议, 可用首字母: AEFHIJKLMNOPQTUWXYZ]
hong     | 讧  | Dispute                        → Internal
hong     | 蕻  | Stem                           → [无建议, 可用首字母: AEFHIJKLMNOPQTUWXYZ]
hou      | 后  | After                          → Houtumiao, Later, Houqinjidi
hou      | 猴  | Ape                            → Houziqiao, Zuihuohou, Golden
hu       | 乎  | Particle                       → Strange, Extraordinary, Hot
hu       | 呼  | Breathe                        → Echo, Hu, Huba
hu       | 忽  | Neglect                        → Hulunsihu, Kublai, Hulunsanhu
hu       | 护  | Guard                          → Shielding, Supporter, Self-protection
hu       | 胡  | Beard                          → Hu, Huxiaoshi, Huwenjuan
hu       | 戏  | Play                           → Small, Jixi, Xinghua
hu       | 糊  | Paste                          → Vague, Unambiguous, Vaguely
hu       | 互  | Mutual                         → Exchange, United, Soluble
hu       | 狐  | Fox                            → Jiuweibaihujing, Hulidong, Huliwo
hu       | 壶  | Pot                            → Headwater, Snuff, Kettle
hu       | 蝴  | Butterfly                      → Hudiequan
hu       | 惚  | Absent-minded                  → Huangxihuxi
hu       | 弧  | Arc                            → Vibrio, Sanghu, Zhanghu
hu       | 葫  | Gourd                          → Hulusu, Jujube, Huluwan
hu       | 扈  | Accompany                      → Hulu, Huwenchang, Jiyihu
hu       | 琥  | Amber                          → [无建议, 可用首字母: EHJKQSUVXYZ]
hu       | 浒  | Bank                           → Saerhushan
hu       | 核  | Nucleus                        → Eukaryotic, Jian, Examine
hu       | 斛  | Peck                           → Husi, Hulvguang, Hulv
hu       | 祜  | Blessing                       → Hanandiliuhu, Yanghu, Huguosita
hu       | 猢  | Monkey                         → [无建议, 可用首字母: EHJKQSUVXYZ]
hu       | 觳  | Fear                           → [无建议, 可用首字母: EHJKQSUVXYZ]
hua      | 化  | Change                         → Imperceptible, Reducing, Enslavement
hua      | 华  | China                          → Xinhuacun, Qiao, Huaqiaodaxue
hua      | 划  | Draw                           → Urban, Action, Uniformity
hua      | 画  | Draw                           → Iron, Painting, Oil
huan     | 换  | Replace                        → Type, Misdirection, Trade-in
huan     | 缓  | Slow                           → Delay, Urgent, Alleviate
huan     | 还  | Still                          → Longing, Xuhaihuan
huan     | 环  | Ring                           → Liruihuan, Ministry, Ambient
huan     | 唤  | Call                           → Awaken, Order, Arouse
huan     | 患  | Suffer                         → Trials, Due, Doctor-patient
huan     | 桓  | Surname Huan                   → Luhuangong, Jinhuangong, Zhouhuanwang
huan     | 鬟  | Bun                            → [无建议, 可用首字母: ADJKLMNOQTUVXYZ]
huan     | 寰  | World                          → Zhanghuan, Liyinghuan, Liuchaohuan
huan     | 浣  | Wash                           → [无建议, 可用首字母: ADJKLMNOQTUVXYZ]
huan     | 涣  | Scatter                        → [无建议, 可用首字母: ADJKLMNOQTUVXYZ]
huan     | 圜  | Circle                         → Yuanqiutan
huan     | 豢  | Raise                          → Domestication
huan     | 獾  | Badger                         → Ahadanlaohuan
huang    | 晃  | Shake                          → Taizuzhuhuang, Xuhuang, Zhanghuang
huang    | 慌  | Anxious                        → [无建议, 可用首字母: DGIKNOQTVXZ]
huang    | 谎  | Lie                            → [无建议, 可用首字母: DGIKNOQTVXZ]
huang    | 惶  | Anxious                        → Deeply, Dread
huang    | 煌  | Bright                         → Zhufuhuang, Dunhuangjun, Zhouhuang
huang    | 蝗  | Locust                         → Quhuangshen
huang    | 潢  | Huang River                    → Decoration, Interior
huang    | 磺  | Sulfur                         → Taurine
huang    | 湟  | Huang River                    → [无建议, 可用首字母: DGIKNOQTVXZ]
huang    | 蟥  | Leech                          → [无建议, 可用首字母: DGIKNOQTVXZ]
huang    | 篁  | Bamboo                         → [无建议, 可用首字母: DGIKNOQTVXZ]
hui      | 回  | Return                         → Episodic, Episode, Low
hui      | 挥  | Wave                           → Volatile, Unified, Lingering
hui      | 灰  | Ash                            → Jihuai, Lime, Volcanic
hui      | 慧  | Wise                           → Xuhuixin, Xiaozhonghui, Xun
hui      | 辉  | Glow                           → Yonghuichaoshi, Xugehui, Zhanghui
hui      | 恢  | Restore                        → Lihui, Luhui, Yanghui
hui      | 毁  | Ruin                           → Jihui, Insult
hui      | 悔  | Regret                         → Yangbuhui, never
hui      | 惠  | Benefit                        → Qihuigonglvyuan, Yanghuishan, Luhuigongjifuhuang
hui      | 汇  | Gather                         → Vocabulary, Inflow, Nanhui
hui      | 绘  | Draw                           → Vivid, Illustration, Jinjinghuilizi
hui      | 徽  | Badge                          → Xueshaohui, Emblem, Yuanhui
hui      | 讳  | Avoid                          → Juquwuhui
hui      | 晖  | Sunshine                       → Jianghui, Zhaohui, Zhanghanhui
hui      | 晦  | Dark                           → Obscurity, Obscure, Yanghui
hui      | 贿  | Bribe                          → [无建议, 可用首字母: EIJKLNOQUVXYZ]
hui      | 秽  | Dirty                          → Obscene
hui      | 彗  | Broom                          → [无建议, 可用首字母: EIJKLNOQUVXYZ]
hui      | 荟  | Gather                         → [无建议, 可用首字母: EIJKLNOQUVXYZ]
hui      | 烩  | Stew                           → [无建议, 可用首字母: EIJKLNOQUVXYZ]
hui      | 蛔  | Roundworm                      → [无建议, 可用首字母: EIJKLNOQUVXYZ]
hui      | 洄  | Whirl                          → [无建议, 可用首字母: EIJKLNOQUVXYZ]
hun      | 混  | Mix                            → Turbid, Confuse, Coagulant
hun      | 昏  | Dusk                           → Old, Fainted, Lethargy
hun      | 浑  | Muddy                          → Tunhun, Entire, Tuyuhun
hun      | 馄  | Dumpling                       → [无建议, 可用首字母: ABCEFGHIKLNOPQRTUXYZ]
huo      | 或  | Or                             → If, Missing, Indispensable
huo      | 活  | Live                           → Agile, Viable, Activity
huo      | 伙  | Group                          → Break, Companion, Young
huo      | 获  | Get                            → Churenhuo|zhurenhuo, Complete, Catch
huo      | 货  | Goods                          → Money, Inflation, Monetary
huo      | 豁  | Open                           → Suddenly, Bright, Risk
huo      | 蠖  | Looper                         → Chinese
ji       | 级  | Level                          → National, First, National
ji       | 集  | Gather                         → Fundraising, Yunjicun, Xinji
ji       | 几  | Several                        → Fifteen, Years, Numbered
ji       | 及  | And                            → Yechunji, Yuquansijitieta, Failing
ji       | 机  | Chance                         → Vibrant, Function, Financial
ji       | 记  | Record                         → Keep, Notes, Fresh
ji       | 季  | Season                         → Yanlingjizimubei, Xiangwushaji, Four
ji       | 击  | Hit                            → Fist, Kill, Fighter
ji       | 急  | Urgent                         → First
ji       | 鸡  | Chicken                        → Young, Female, Yangjichang
ji       | 挤  | Push                           → [无建议, 可用首字母: FKNVXYZ]
ji       | 系  | Tie                            → Network, Fengtian, Feeling
ji       | 即  | At                             → Fleeting, Zhangjizhi, Feeling
ji       | 既  | Already                        → Zhangji, Fixed, Yujicheng
ji       | 极  | Pole                           → Nanjizhanshen, Nanfangnanjichangshengdadi, Negative
ji       | 计  | Plan                           → National, Numerous, National
ji       | 激  | Arouse                         → Kinase, Vigorous, Fierce
ji       | 继  | Succeed                        → Kongjisu, Yinjishan, Xujishe
ji       | 基  | Base                           → Zhangbangji, Koetski, Fund
ji       | 寄  | Send                           → Forward, Foster
ji       | 忌  | Avoid                          → Zhangwuji, Zou, Zhangsunwuji
ji       | 己  | Oneself                        → Knowing, Kong, Foreigner
ji       | 骑  | Ride                           → Knight, Fence-sitting
ji       | 际  | Edge                           → Far, Vast, Fish
ji       | 纪  | Record                         → Zhongshanjinianlin, New, Futianshaji
ji       | 技  | Skill                          → Kejiyuan, Nautical, Kejixueyuan
ji       | 济  | Aid                            → Fiji, Fiscal, Yongjiqu
ji       | 迹  | Mark                           → Footprints, Yuechengyiji, Yiji
ji       | 吉  | Lucky                          → Xiji, Yoshino, Xijierhun
ji       | 积  | Accumulate                     → Numerical, Yushanjixue, Volume
ji       | 寂  | Quiet                          → Xuanji
ji       | 疾  | Illness                        → Xinqiji, Xiongqiji, Zhouaiwangjiquji
ji       | 姬  | Ji (surname)                   → Zhouwenwangjichang, Zhouyuanwangjiren, Zhouliwangjihuqi
ji       | 绩  | Merit                          → Nanchaoxiaojimushike
ji       | 祭  | Worship                        → Zhengzhaogongjizhaizhong, Yuji
ji       | 肌  | Muscle                         → [无建议, 可用首字母: FKNVXYZ]
ji       | 辑  | Edit                           → Video, Formal, Volume
ji       | 籍  | Book                           → Zhangji, Newspapers, Yiji
ji       | 圾  | Garbage                        → [无建议, 可用首字母: FKNVXYZ]
ji       | 妓  | Prostitute                     → Female
ji       | 嫉  | Envy                           → [无建议, 可用首字母: FKNVXYZ]
ji       | 饥  | Hungry                         → Feeling, Famine
ji       | 剂  | Dose                           → Fuel, Vaccine, Flame
ji       | 奇  | Odd                            → Ziqi, Zhuqiwei, Yiliqi
ji       | 脊  | Spine                          → Vertebra, Vertebrate
ji       | 稽  | Inspect                        → Kuaijiwang, Funny, Kuaijiwangsunliang
ji       | 叽  | Chirp                          → [无建议, 可用首字母: FKNVXYZ]
ji       | 唧  | Chirp                          → [无建议, 可用首字母: FKNVXYZ]
ji       | 讥  | Mock                           → [无建议, 可用首字母: FKNVXYZ]
ji       | 藉  | Depend                         → Xiangji
ji       | 冀  | Hope                           → Xiaojimian
ji       | 戟  | Halberd                        → Zhuji
ji       | 棘  | Thorn                          → [无建议, 可用首字母: FKNVXYZ]
ji       | 缉  | Capture                        → Zouji, Zhangji
ji       | 悸  | Palpitate                      → [无建议, 可用首字母: FKNVXYZ]
ji       | 羁  | Restrain                       → [无建议, 可用首字母: FKNVXYZ]
ji       | 玑  | Pearl                          → Yujizi, Xuji
ji       | 伎  | Performer                      → Kabuki
ji       | 霁  | Clear up                       → Zhujiqing, Yangjiyun, Yanjiqing
ji       | 矶  | Jetty                          → Yanziji
ji       | 髻  | Bun                            → [无建议, 可用首字母: FKNVXYZ]
ji       | 稷  | Millet                         → Yangzongji, Yingji
ji       | 岌  | Perilous                       → [无建议, 可用首字母: FKNVXYZ]
ji       | 汲  | Draw water                     → [无建议, 可用首字母: FKNVXYZ]
ji       | 畸  | Irregular                      → [无建议, 可用首字母: FKNVXYZ]
ji       | 觊  | Covet                          → [无建议, 可用首字母: FKNVXYZ]
ji       | 骥  | Steed                          → Fengjicai, Fast, Yangtianji
ji       | 嵇  | Surname Ji                     → [无建议, 可用首字母: FKNVXYZ]
ji       | 蓟  | Thistle                        → [无建议, 可用首字母: FKNVXYZ]
ji       | 诘  | Question                       → [无建议, 可用首字母: FKNVXYZ]
ji       | 箕  | Winnowing                      → [无建议, 可用首字母: FKNVXYZ]
ji       | 佶  | Upright                        → Zhaoji, Zhao
ji       | 瘠  | Lean                           → [无建议, 可用首字母: FKNVXYZ]
ji       | 畿  | Capital area                   → [无建议, 可用首字母: FKNVXYZ]
ji       | 亟  | Urgent                         → [无建议, 可用首字母: FKNVXYZ]
ji       | 跻  | Climb                          → [无建议, 可用首字母: FKNVXYZ]
ji       | 暨  | And                            → Zhuiji, Zhuji
ji       | 鲫  | Crucian                        → [无建议, 可用首字母: FKNVXYZ]
ji       | 偈  | Buddhist verse                 → Verses
ji       | 齑  | Powder                         → [无建议, 可用首字母: FKNVXYZ]
ji       | 荠  | Shepherd's purse               → [无建议, 可用首字母: FKNVXYZ]
ji       | 楫  | Oar                            → Zhouji, Zhangjiru
ji       | 麂  | Muntjac                        → [无建议, 可用首字母: FKNVXYZ]
jia      | 家  | Family                         → Linjiawan, Jinxiujiayuan, Zhangjiatang
jia      | 价  | Price                          → Law, Vegetable, Loud
jia      | 假  | Fake                           → Xiedaodujiacun, Jiarijiudian, Judgment
jia      | 架  | Frame                          → Two, Iron, Opening
jia      | 佳  | Good                           → Yangjia, Yujia, Bojia
jia      | 夹  | Sandwich                       → Jia, Jiajiang, Iron
jia      | 嘉  | Praise                         → Tan, Jiajing, Liurongjia
jia      | 颊  | Cheek                          → Both
jia      | 稼  | Crops                          → Deng, Dengjiaxian
jia      | 枷  | Cangue                         → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jia      | 袈  | Cassock                        → Kasaya
jia      | 戛  | Sudden                         → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jia      | 浃  | Soak                           → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jia      | 胛  | Shoulder blade                 → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jia      | 笳  | Flute                          → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jia      | 钾  | Potassium                      → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jia      | 荚  | Pod                            → Bean, Legume
jia      | 跏  | Cross-legged                   → Lotos
jia      | 镓  | Gallium                        → [无建议, 可用首字母: BDIJKLOQTUVXYZ]
jian     | 见  | Meet                           → Greedy, Lijianming, Glance
jian     | 间  | Between                        → Virtual, Zuojiujian, Leave
jian     | 剑  | Sword                          → Yī, Gaojianfu, Zhujianping
jian     | 建  | Build                          → Jianxing, Jiansheju, Guojianping
jian     | 渐  | Slowly                         → Gradually, Gradually, Gradually
jian     | 简  | Brief                          → Xuechongjian, Jinjianwendisimayu, Jane
jian     | 坚  | Firm                           → Jiankun, Liubojian, Zhengxianggongjijian
jian     | 肩  | Shoulder                       → Left
jian     | 舰  | Warship                        → Aircraft, Armored
jian     | 尖  | Sharp                          → Jianshancun, Jianfeng, Apex
jian     | 监  | Monitor                        → Quality, Jianbingshenjun, Jianguotuolei
jian     | 健  | Strong                         → Lixuejian, Zhouhuajian, Anjiangang
jian     | 检  | Check                          → Quality, Jiao, Jiao
jian     | 减  | Reduce                         → Addition, Attenuate, Add
jian     | 奸  | Traitor                        → Vile, Adultery, Japanese
jian     | 兼  | Both                           → Jiān, Assimilate, Listen
jian     | 鉴  | Mirror                         → Learn, Jianzhen, Appraiser
jian     | 贱  | Cheap                          → Lowly, Lowly
jian     | 剪  | Cut                            → Video, Grafted, Grafting
jian     | 溅  | Splash                         → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 践  | On                             → Zhu, Goujian, Long-term
jian     | 荐  | Recommend                      → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 歼  | Wipe                           → Annihilate, Zhenqingjianmiezhanjinianbei
jian     | 拣  | Pick                           → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 煎  | Fry                            → Jianbing
jian     | 俭  | Thrifty                        → Zhangjian, Zhangkejian, Liujian
jian     | 涧  | Mountain                       → Qingjian, Jianxi, Qingjian
jian     | 茧  | Cocoon                         → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 谏  | Remonstrate                    → Advise, Advise, Advising
jian     | 柬  | Note                           → Yaojianzhi
jian     | 笺  | Note                           → Annotation
jian     | 缄  | Seal                           → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 碱  | Base                           → Acidity, Qiang, Alkaline
jian     | 翦  | Cut                            → Jian, Jian, Jianbozan
jian     | 饯  | Feast                          → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 毽  | Shuttlecock                    → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 腱  | Tendon                         → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 謇  | Stutter                        → Zhangjian, Zhang
jian     | 槛  | Threshold                      → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 鞯  | Saddle pad                     → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 裥  | Pleat                          → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 鲣  | Bonito                         → [无建议, 可用首字母: AGJLQVXYZ]
jian     | 犍  | Ox                             → Juqumujian, Qianwei, Jianwei
jiang    | 江  | River                          → Hengjiangcun, Yu, Xiangjianghuayuan
jiang    | 奖  | Award                          → Nobel, Nobel, Music
jiang    | 僵  | Stiff                          → Zombie, Frozen
jiang    | 匠  | Artisan                        → Have, Quite, Locksmith
jiang    | 浆  | Paste                          → Lava, Igneous, Mud
jiang    | 酱  | Sauce                          → Eganjiang, Yellow, like
jiang    | 缰  | Rein                           → [无建议, 可用首字母: EFHIKLMNQUVXYZ]
jiang    | 绛  | Crimson                        → Yangjiang, Xin, Xinjiang
jiang    | 糨  | Paste                          → [无建议, 可用首字母: EFHIKLMNQUVXYZ]
jiang    | 豇  | Cowpea                         → Long
jiao     | 叫  | Call                           → Noisy
jiao     | 教  | Teach                          → Vatican, Eastern, Jingmingjiaozhu
jiao     | 交  | Meet                           → Exchange, Intersection, Emotional
jiao     | 脚  | Leg                            → Elephant, Underfoot, Immediately
jiao     | 较  | Compare                        → Near, Quite, Narrower
jiao     | 娇  | Delicate                       → Extremely, Extremely, Jia
jiao     | 焦  | Burnt                          → Jiaodafeng, Zoom, Jiaolikun
jiao     | 骄  | Proud                          → Zhouanwangjijiao, Jinchugongjijiao, Jijiao
jiao     | 轿  | Carriage                       → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 搅  | Mix                            → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 狡  | Cunning                        → Evasion
jiao     | 郊  | Suburb                         → Northwest, Xijiaobinguan, Jiaoqu
jiao     | 觉  | Feel                           → Visual, Increasingly, Easy
jiao     | 绞  | Twist                          → Unshielded
jiao     | 剿  | Suppress                       → Eliminate, Encirclement, Eliminate
jiao     | 浇  | Pour                           → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 缴  | Hand                           → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 蛟  | Flood dragon                   → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 椒  | Pepper                         → Jiaomaji, Qixingjiao, Quanjiao
jiao     | 侥  | Lucky                          → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 矫  | Correct                        → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 饺  | Dumpling                       → Eat
jiao     | 蕉  | Banana                         → Jiao, Jiaoyuan
jiao     | 皎  | Bright                         → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 窖  | Pit                            → Underground, Underground
jiao     | 跤  | Fall                           → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 铰  | Hinge                          → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 茭  | Wild rice                      → [无建议, 可用首字母: EIJKNQUVXZ]
jiao     | 鹪  | Wren                           → [无建议, 可用首字母: EIJKNQUVXZ]
jie      | 接  | Receive                        → Network, Following, Jiaojiechu
jie      | 解  | Explain                        → Jiefangbei, Jiexiaodong, Fermentation
jie      | 姐  | Sister                         → Yueliangjiejie, Jiang, Older
jie      | 界  | World                          → Jieqiao, Border, Desire
jie      | 节  | Section                        → Before, Bamboo, News
jie      | 街  | Road                           → Beijie, Barkhor, Beijing
jie      | 借  | Lend                           → Borrow, Borrow, Borrowing
jie      | 阶  | Step                           → Factorial, Developmental, First
jie      | 洁  | Clean                          → Dengzujie, Yangjie, Jiechen
jie      | 戒  | Quit                           → Ordination, Guard, Guard
jie      | 皆  | All                            → Virtues, Jieda
jie      | 劫  | Rob                            → Never, Disaster, Dujie
jie      | 截  | Cut                            → Block, Deadline, Definitely
jie      | 捷  | Quick                          → Baoshijie, Fast, Fangjie
jie      | 揭  | Uncover                        → Boluosengjiedi, Opening, Yintoujiedi
jie      | 竭  | Use                            → Failure, Depleted
jie      | 届  | Term                           → First, Fourteenth, First
jie      | 睫  | Eyelash                        → [无建议, 可用首字母: BDFGJNOVYZ]
jie      | 诫  | Warn                           → [无建议, 可用首字母: BDFGJNOVYZ]
jie      | 桀  | Tyrant                         → [无建议, 可用首字母: BDFGJNOVYZ]
jie      | 嗟  | Alas                           → Food
jie      | 孑  | Lonely                         → Fossil
jie      | 羯  | Castrated ram                  → [无建议, 可用首字母: BDFGJNOVYZ]
